Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
AR-10510,14,5,264.86400000000003,5,2,1,521
AR-10540,6,6,6608.448,5,3,5,535
AR-10570,534,1,88.15,1,1,1,111
AR-10825,58,8,4523.336,3,4,5,345
AS-10045,88,7,3050.692,3,3,4,334
AS-10090,28,9,3255.31,4,5,4,454
AS-10135,41,2,58.82,4,1,1,411
AS-10225,22,5,4260.784,5,2,4,524
AS-10240,192,7,584.6080000000001,2,3,1,231
AS-10285,19,6,3214.236,5,3,4,534
AS-10630,92,7,833.398,3,3,1,331
AT-10435,21,6,1171.814,5,3,2,532
AT-10735,13,10,3831.864,5,5,4,554
AW-10840,20,4,649.376,5,1,1,511
AW-10930,46,7,2852.968,4,3,4,434
AY-10555,14,4,497.014,5,1,1,511
AZ-10750,160,6,1622.0179999999998,2,3,2,232
BB-10990,105,5,744.3399999999999,2,2,1,221
BB-11545,28,9,6765.728,4,5,5,455
BC-11125,202,9,2933.676,2,5,4,254
BD-11320,33,12,5718.521,4,5,5,455
BD-11500,35,6,4411.2429999999995,4,3,5,435
BD-11560,278,2,320.54,1,1,1,111
BD-11605,97,7,3288.471,3,3,4,334
BD-11620,69,6,1538.11,3,3,2,332
BD-11635,9,3,582.646,5,1,1,511
BD-11725,93,6,1526.5,3,3,2,332
BD-11770,327,6,658.466,1,3,1,131
BE-11335,119,5,4204.676,2,2,4,224
BE-11410,98,5,2261.438,3,2,3,323
BE-11455,254,6,1727.652,1,3,2,132
BF-10975,91,7,599.798,3,3,1,331
BF-11005,39,4,1333.88,4,1,2,412
BF-11020,74,8,2888.506,3,4,4,344
BF-11080,25,3,272.95,5,1,1,511
BF-11170,16,11,5907.972,5,5,5,555
BF-11215,65,4,1585.162,3,1,2,312
BF-11275,57,3,791.9899999999999,3,1,1,311
BG-11035,28,8,2798.948,4,4,4,444
BG-11695,36,6,1874.172,4,3,3,433
BG-11740,57,6,1006.356,3,3,2,332
BH-11710,23,8,6255.351,5,4,5,545
BK-11260,77,6,659.1379999999999,3,3,1,331
BM-11140,307,4,11789.63,1,1,5,115
BM-11575,100,6,808.162,3,3,1,331
BM-11650,33,11,7294.185,4,5,5,455
BM-11785,218,10,1338.842,2,5,2,252
BN-11470,24,4,265.296,5,1,1,511
BN-11515,9,5,1459.344,5,2,2,522
BO-11350,137,5,2682.728,2,2,3,223
BO-11425,75,2,130.83,3,1,1,311
BP-11050,83,5,983.42,3,2,2,322
BP-11095,17,12,2442.044,5,5,3,553
BP-11155,89,6,1697.8609999999999,3,3,2,332
BP-11185,1,9,3675.861,5,5,4,554
BP-11230,39,5,1181.49,4,2,2,422
BP-11290,12,7,2475.157,5,3,3,533
BS-11365,558,5,10501.653,1,2,5,125
BS-11380,28,5,3887.834,4,2,4,424
BS-11590,35,6,2454.928,4,3,3,433
BS-11665,582,3,3288.1099999999997,1,1,4,114
BS-11755,1,7,2562.382,5,3,3,533
BS-11800,265,2,949.4300000000001,1,1,1,111
BT-11305,336,5,2567.656,1,2,3,123
BT-11395,302,6,2186.6130000000003,1,3,3,133
BT-11440,560,4,603.876,1,1,1,111
BT-11485,659,2,415.19599999999997,1,1,1,111
BT-11530,91,5,2684.4919999999997,3,2,3,323
BT-11680,20,7,3196.752,5,3,4,534
BV-11245,334,5,1523.2730000000001,1,2,2,122
BW-11065,212,3,385.516,2,1,1,211
BW-11110,121,8,4750.358,2,4,5,245
BW-11200,203,6,1738.406,2,3,2,232
CA-11965,96,6,3789.7228,3,3,4,334
CA-12055,401,5,1679.7240000000002,1,2,2,122
CA-12265,56,9,2648.2872,3,5,3,353
CA-12310,13,4,1421.954,5,1,2,512
CA-12775,120,7,3041.566,2,3,4,234
CB-12025,47,10,6076.139,4,5,5,455
CB-12415,26,8,1949.2,5,4,3,543
CB-12535,197,8,4246.4555,2,4,4,244
CC-12100,457,6,1770.945,1,3,3,133
CC-12145,106,7,2471.65,2,3,3,233
CC-12220,20,12,3913.418,5,5,4,554
CC-12370,43,5,12129.072000000002,4,2,5,425
CC-12430,0,10,2870.05,5,5,4,554
CC-12475,39,9,1659.438,4,5,2,452
CC-12550,27,3,113.832,4,1,1,411
CC-12610,34,7,2540.631,4,3,3,433
CC-12670,29,7,2269.7015,4,3,3,433
CC-12685,799,4,2854.1150000000002,1,1,4,114
CD-11920,40,5,2033.968,4,2,3,423
CD-11980,54,3,639.766,3,1,1,311
CD-12280,42,2,1205.584,4,1,2,412
CD-12790,399,5,1860.732,1,2,3,123
CG-12040,49,6,904.4680000000001,4,3,1,431
CG-12520,338,3,1148.7800000000002,1,1,2,112
CH-12070,691,3,1537.236,1,1,2,112
CJ-11875,365,1,16.52,1,1,1,111
CJ-12010,189,8,11164.974,2,4,5,245
CK-12205,39,13,3154.855,4,5,4,454
CK-12325,120,5,2945.321,2,2,4,224
CK-12595,43,11,2372.75,4,5,3,453
CK-12760,82,9,1582.109,3,5,2,352
CL-11890,106,4,1262.0140000000001,2,1,2,212
CL-12565,284,12,10880.546,1,5,5,155
CL-12700,105,5,2353.586,2,2,3,223
CM-11815,131,6,1673.888,2,3,2,232
CM-11935,708,2,565.392,1,1,1,111
CM-12115,8,4,1661.6100000000001,5,1,2,512
CM-12160,26,6,2533.314,5,3,3,533
CM-12190,8,6,1475.144,5,3,2,532
CM-12235,385,5,2305.712,1,2,3,123
CM-12385,37,4,8954.019999999999,4,1,5,415
CM-12445,436,3,287.99,1,1,1,111
CM-12655,27,6,6339.5576,4,3,5,435
CM-12715,1035,4,3984.4524,1,1,4,114
CP-12085,82,8,5402.254,3,4,5,345
CP-12340,160,8,5888.275,2,4,5,245
CR-12580,57,4,2148.852,3,1,3,313
CR-12625,470,3,475.9,1,1,1,111
CR-12730,78,4,1600.55,3,1,2,312
CR-12820,85,3,1397.8724,3,1,2,312
CS-11845,91,5,1278.954,3,2,2,322
CS-11860,162,6,537.632,2,3,1,231
CS-11950,25,11,3036.547,5,5,4,554
CS-12130,489,4,884.64,1,1,1,111
CS-12175,232,5,844.4580000000001,1,2,1,121
CS-12250,26,12,2754.216,5,5,4,554
CS-12355,6,11,3202.1620000000003,5,5,4,554
CS-12400,2,9,3651.8585000000003,5,5,4,554
CS-12460,27,2,550.644,4,1,1,411
CS-12490,424,4,1077.2285,1,1,2,112
CS-12505,58,6,5690.054999999999,3,3,5,335
CT-11995,96,8,3241.898,3,4,4,344
CV-12295,254,5,2830.6279999999997,1,2,4,124
CV-12805,5,9,2370.3136,5,5,3,553
CW-11905,22,6,1136.592,5,3,2,532
CY-12745,60,8,2900.026,3,4,4,344
Co-12640,549,5,1300.076,1,2,2,122
DA-13450,352,4,156.76,1,1,1,111
DB-12910,21,8,2171.599,5,4,3,543
DB-12970,241,5,2839.2272,1,2,4,124
DB-13060,16,7,4531.646,5,3,5,535
DB-13120,48,7,2973.094,4,3,4,434
DB-13210,9,10,2332.577,5,5,3,553
DB-13270,53,8,4655.897,4,4,5,445
DB-13360,264,5,1081.466,1,2,2,122
DB-13405,187,4,1711.692,2,1,2,212
DB-13555,107,7,3908.8028,2,3,4,234
DB-13615,33,7,1989.05,4,3,3,433
DB-13660,12,7,1155.202,5,3,2,532
DC-12850,37,9,3336.168,4,5,4,454
DC-13285,23,5,1174.618,5,2,2,522
DD-13570,41,6,269.542,4,3,1,431
DE-13255,719,5,2550.874,1,2,3,123
DF-13135,700,3,2390.534,1,1,3,113
DG-13300,32,5,3195.818,4,2,4,424
DH-13075,277,6,4932.872,1,3,5,135
DH-13675,776,4,1043.096,1,1,2,112
DJ-13420,637,4,2012.52,1,1,3,113
DJ-13510,48,8,2501.6879999999996,4,4,3,443
DJ-13630,12,3,3356.398,5,1,4,514
DK-12835,21,12,3256.48,5,5,4,554
DK-12895,45,5,4282.176,4,2,4,424
DK-12985,7,5,1687.04,5,2,2,522
DK-13090,42,7,2650.557,4,3,3,433
DK-13150,10,2,797.832,5,1,1,511
DK-13225,10,9,4802.394,5,5,5,555
DK-13375,19,8,3318.486,5,4,4,544
DL-12865,100,8,1503.112,3,4,2,342
DL-12925,57,6,3272.2,3,3,4,334
DL-13315,22,8,1458.258,5,4,2,542
DL-13330,57,4,585.02,3,1,1,311
DL-13495,76,8,3539.322,3,4,4,344
DM-12955,114,7,1322.034,2,3,2,232
DM-13015,57,7,6345.103,3,3,5,335
DM-13345,22,8,4074.4719999999998,5,4,4,544
DM-13525,481,3,1376.792,1,1,2,112
DN-13690,217,7,2139.79,2,3,3,233
DO-13435,133,9,1300.0315,2,5,2,252
DO-13645,26,7,1267.316,5,3,2,532
DP-13000,126,9,1050.636,2,5,2,252
DP-13105,6,8,2215.002,5,4,3,543
DP-13165,812,2,1058.616,1,1,2,112
DP-13390,358,9,5480.723999999999,1,5,5,155
DR-12880,3,9,6528.034000000001,5,5,5,555
DR-12940,50,8,8350.868,4,4,5,445
DS-13030,93,4,1762.213,3,1,3,313
DS-13180,23,9,2881.8128,5,5,4,554
DV-13045,19,5,1119.483,5,2,2,522
DV-13465,29,6,3341.587,4,3,4,434
DW-13195,69,6,1080.751,3,3,2,332
DW-13480,217,5,5271.628,2,2,5,225
DW-13540,98,5,344.08,3,2,1,321
DW-13585,242,7,1204.854,1,3,2,132
Dl-13600,119,5,755.602,2,2,1,221
Dp-13240,84,11,7198.7609999999995,3,5,5,355
EA-14035,152,13,2846.705,2,5,4,254
EB-13705,48,9,3644.978,4,5,4,454
EB-13750,35,10,3236.314,4,5,4,454
EB-13840,90,5,4358.128,3,2,5,325
EB-13870,100,10,2767.219,3,5,4,354
EB-13930,161,5,944.6000000000001,2,2,1,221
EB-13975,0,4,1643.255,5,1,2,512
EB-14110,113,6,3071.126,2,3,4,234
EB-14170,82,6,1186.326,3,3,2,332
EC-14050,53,5,461.914,4,2,1,421
ED-13885,135,8,3484.92,2,4,4,244
EG-13900,22,5,1832.02,5,2,3,523
EH-13765,135,12,10310.880000000001,2,5,5,255
EH-13945,217,8,684.1709999999999,2,4,1,241
EH-13990,405,6,825.9499999999999,1,3,1,131
EH-14005,2,7,1219.53,5,3,2,532
EH-14125,152,10,3082.653,2,5,4,254
EH-14185,105,6,923.884,2,3,1,231
EJ-13720,302,4,2162.174,1,1,3,113
EJ-14155,57,5,2656.691,3,2,3,323
EK-13795,44,4,1303.478,4,1,2,412
EL-13735,77,2,124.28,3,1,1,311
EM-13810,132,5,2567.0099999999998,2,2,3,223
EM-13825,55,8,2339.598,3,4,3,343
EM-13960,151,5,933.704,2,2,1,221
EM-14065,47,4,228.99,4,1,1,411
EM-14095,113,4,1041.0420000000001,2,1,2,212
EM-14140,48,6,4588.436000000001,4,3,5,435
EM-14200,158,3,366.822,2,1,1,211
EN-13780,287,4,2199.366,1,1,3,113
EP-13915,12,17,5478.0608,5,5,5,555
ER-13855,421,3,1245.788,1,1,2,112
ES-14020,40,5,3510.4579999999996,4,2,4,424
ES-14080,28,9,4657.924,4,5,5,455
FA-14230,97,7,2984.054,3,3,4,334
FC-14245,70,7,3418.742,3,3,4,334
FC-14335,184,7,3889.366,2,3,4,234
FG-14260,34,7,1383.144,4,3,2,432
FH-14275,37,10,4256.272,4,5,4,454
FH-14350,212,4,2271.284,2,1,3,213
FH-14365,5,8,6987.196,5,4,5,545
FM-14215,7,10,2456.638,5,5,3,553
FM-14290,36,9,3736.198,4,5,4,454
FM-14380,145,9,2523.266,2,5,3,253
FO-14305,38,10,2678.438,4,5,3,453
FP-14320,23,8,4046.746,5,4,4,544
FW-14395,362,3,79.75,1,1,1,111
GA-14515,149,8,3919.7760000000003,2,4,4,244
GA-14725,5,11,1398.382,5,5,2,552
GB-14530,62,11,1568.44,3,5,2,352
GB-14575,13,5,4716.288,5,2,5,525
GD-14590,5,4,1888.07,5,1,3,513
GG-14650,43,9,2224.0,4,5,3,453
GH-14410,75,9,2819.4669999999996,3,5,4,354
GH-14425,50,4,4172.8460000000005,4,1,4,414
GH-14485,387,2,1361.2440000000001,1,1,2,112
GH-14665,2,2,146.94080000000002,5,1,1,511
GK-14620,112,9,6497.27,2,5,5,255
GM-14440,83,7,3582.8199999999997,3,3,4,334
GM-14455,16,6,3078.624,5,3,4,534
GM-14500,106,10,1255.682,2,5,2,252
GM-14680,152,6,3163.628,2,3,4,234
GM-14695,117,3,6049.966,2,1,5,215
GP-14740,765,2,236.53,1,1,1,111
GR-14560,1135,2,1284.38,1,1,2,112
GT-14635,56,3,9351.212,3,1,5,315
GT-14710,36,11,11820.119999999999,4,5,5,455
GT-14755,34,4,226.436,4,1,1,411
GW-14605,28,7,2189.019,4,3,3,433
GZ-14470,7,9,4355.150000000001,5,5,5,555
GZ-14545,157,4,2454.6220000000003,2,1,3,213
HA-14905,69,7,2163.3,3,3,3,333
HA-14920,20,8,2584.158,5,4,3,543
HD-14785,769,3,251.36,1,1,1,111
HE-14800,12,4,883.5319999999999,5,1,1,511
HF-14995,21,7,2533.1639999999998,5,4,3,543
HG-14845,54,5,785.628,3,2,1,321
HG-14965,23,12,3247.642,5,5,4,554
HG-15025,6,7,3690.284,5,4,4,544
HH-15010,72,2,218.668,3,1,1,311
HJ-14875,126,5,358.1,2,2,1,221
HK-14890,151,8,4877.784,2,4,5,245
HL-15040,43,6,12873.297999999999,4,3,5,435
HM-14860,2,10,8236.7648,5,5,5,555
HM-14980,247,4,736.276,1,1,1,111
HP-14815,30,7,1990.314,4,4,3,443
HR-14770,13,5,1299.288,5,2,2,522
HR-14830,159,7,5248.787,2,4,5,245
HW-14935,117,8,9300.254,2,4,5,245
HZ-14950,35,5,886.52,4,2,1,421
IG-15085,71,4,744.574,3,1,1,311
IL-15100,142,7,5040.736,2,4,5,245
IM-15055,409,3,2872.63,1,1,4,114
IM-15070,390,7,4930.474,1,4,5,145
JA-15970,92,8,6491.026,3,4,5,345
JB-15400,7,10,1791.605,5,5,3,553
JB-15925,737,3,900.552,1,1,1,111
JB-16000,43,7,644.1188,4,4,1,441
JB-16045,7,5,2518.115,5,2,3,523
JC-15340,114,4,71.263,2,1,1,211
JC-15385,175,1,1058.108,2,1,2,212
JC-15775,158,9,2772.055,2,5,4,254
JC-16105,57,5,858.576,3,2,1,321
JD-15790,117,5,2152.352,2,2,3,223
JD-15895,394,11,7610.8640000000005,1,5,5,155
JD-16015,112,6,385.43,2,3,1,231
JD-16060,300,3,695.442,1,1,1,111
JD-16150,41,8,8828.0305,4,4,5,445
JE-15475,193,6,1388.682,2,3,2,232
JE-15610,48,7,7754.976,4,4,5,445
JE-15715,46,10,8697.842999999999,4,5,5,455
JE-15745,51,13,6760.8150000000005,4,5,5,455
JE-16165,20,3,2697.248,5,1,3,513
JF-15190,65,7,2279.5860000000002,3,4,3,343
JF-15295,225,5,955.124,1,2,1,121
JF-15355,105,6,1911.844,2,3,3,233
JF-15415,2,6,2371.448,5,3,3,533
JF-15490,121,11,1082.918,2,5,2,252
JF-15565,54,8,4198.332,3,4,4,344
JG-15115,758,3,2358.676,1,1,3,113
JG-15160,1,11,6366.392,5,5,5,555
JG-15310,2,6,2240.58,5,3,3,533
JG-15805,223,6,1507.018,2,3,2,232
JH-15430,5,4,309.281,5,1,1,511
JH-15820,174,6,528.91,2,3,1,231
JH-15910,41,7,959.477,4,4,1,441
JH-15985,29,6,7954.9980000000005,4,3,5,435
JH-16180,404,4,2256.3940000000002,1,1,3,113
JJ-15445,483,5,709.178,1,2,1,121
JJ-15760,753,2,195.0,1,1,1,111
JK-15205,61,5,4427.142,3,2,5,325
JK-15325,287,3,383.812,1,1,1,111
JK-15370,44,8,2709.632,4,4,3,443
JK-15625,61,7,3760.028,3,4,4,344
JK-15640,180,9,4760.434,2,5,5,255
JK-15730,84,10,4867.2,3,5,5,355
JK-16090,28,3,3747.668,4,1,4,414
JK-16120,117,10,2932.484,2,5,4,254
JL-15130,8,6,1214.956,5,3,2,532
JL-15175,6,5,1571.523,5,2,2,522
JL-15235,119,5,2203.7,2,2,3,223
JL-15505,49,6,3173.874,4,3,4,434
JL-15835,21,11,9799.923,5,5,5,555
JL-15850,614,6,2725.256,1,3,3,133
JM-15250,37,6,3159.1220000000003,4,3,4,434
JM-15265,37,5,1804.146,4,2,3,423
JM-15535,102,7,1733.443,3,4,2,342
JM-15580,0,5,303.948,5,2,1,521
JM-15655,8,5,864.947,5,2,1,521
JM-15865,109,7,7625.076000000001,2,4,5,245
JM-16195,57,10,2833.9260000000004,3,5,4,354
JO-15145,57,9,3254.949,3,5,4,354
JO-15280,92,6,1934.272,3,3,3,333
JO-15550,215,5,1090.838,2,2,2,222
JP-15460,37,7,1669.135,4,4,2,442
JP-15520,8,7,3635.594,5,4,4,544
JP-16135,102,9,1707.71,3,5,2,352
JR-15670,593,2,1156.658,1,1,2,112
JR-15700,68,1,863.88,3,1,1,311
JR-16210,33,5,2201.686,4,2,3,423
JS-15595,119,4,1417.654,2,1,2,212
JS-15685,42,4,1131.0639999999999,4,1,2,412
JS-15880,534,5,3868.02,1,2,4,124
JS-15940,463,5,469.169,1,2,1,121
JS-16030,28,6,2516.494,4,3,3,433
JW-15220,42,6,7721.714,4,3,5,435
JW-15955,5,7,1244.086,5,4,2,542
JW-16075,461,4,1428.731,1,1,2,112
KA-16525,36,7,1519.506,4,4,2,442
KB-16240,4,7,3152.6150000000002,5,4,4,544
KB-16315,296,9,1569.464,1,5,2,152
KB-16405,117,3,908.821,2,1,1,211
KB-16585,230,12,2744.742,1,5,3,153
KB-16600,1,7,983.922,5,4,2,542
KC-16255,407,6,2120.954,1,3,3,133
KC-16540,97,4,3908.262,3,1,4,314
KC-16675,57,4,1146.05,3,1,2,312
KD-16270,484,5,8282.358,1,2,5,125
KD-16345,41,6,1888.964,4,3,3,433
KD-16495,112,12,8181.256,2,5,5,255
KD-16615,289,5,2243.5099999999998,1,2,3,123
KE-16420,26,8,1686.7312,5,4,2,542
KF-16285,97,7,10604.266,3,4,5,345
KH-16330,40,8,3312.864,4,4,4,444
KH-16360,1,6,3100.612,5,3,4,534
KH-16510,22,7,5952.859,5,4,5,545
KH-16630,58,9,3918.9660000000003,3,5,4,354
KH-16690,2,7,5990.799,5,4,5,545
KL-16555,16,8,5016.488,5,4,5,545
KL-16645,47,12,14175.229000000001,4,5,5,455
KM-16225,14,6,2260.958,5,3,3,533
KM-16375,56,8,5620.186,3,4,5,345
KM-16660,15,5,453.538,5,2,1,521
KM-16720,28,8,4909.472,4,4,5,445
KN-16390,19,9,2617.272,5,5,3,553
KN-16450,52,5,2171.962,4,2,3,423
KN-16705,98,8,2280.58,3,4,3,343
KS-16300,295,3,88.472,1,1,1,111
KT-16465,391,7,3057.1,1,4,4,144
KT-16480,100,10,4642.088400000001,3,5,5,355
KW-16435,96,5,4416.5199999999995,3,2,5,325
KW-16570,771,4,449.096,1,1,1,111
LA-16780,154,11,8673.222,2,5,5,255
LB-16735,48,3,50.188,4,1,1,411
LB-16795,152,8,4985.676,2,4,5,245
LC-16870,27,8,2580.7039999999997,4,4,3,443
LC-16885,16,12,7663.126,5,5,5,555
LC-16930,41,8,4492.946,4,4,5,445
LC-16960,436,4,3246.626,1,1,4,114
LC-17050,54,5,2095.064,3,2,3,323
LC-17140,13,9,2633.582,5,5,3,553
LD-16855,552,1,5.304,1,1,1,111
LD-17005,414,4,1961.934,1,1,3,113
LE-16810,21,6,1469.45,5,3,2,532
LF-17185,22,7,3930.5089999999996,5,4,4,544
LH-16750,151,3,287.426,2,1,1,211
LH-16900,21,9,2295.332,5,5,3,553
LH-17020,239,4,318.239,1,1,1,111
LH-17155,385,9,1739.689,1,5,3,153
LL-16840,249,6,2741.2039999999997,1,3,3,133
LM-17065,391,5,1346.774,1,2,2,122
LO-17170,2,5,644.35,5,2,1,521
LP-17080,40,4,756.606,4,1,1,411
LP-17095,9,7,3653.399,5,4,4,544
LR-16915,26,6,5142.892,5,3,5,535
LR-17035,132,5,1879.306,2,2,3,223
LS-16945,178,6,2845.27,2,3,4,234
LS-16975,20,9,2988.674,5,5,4,554
LS-17200,96,6,1010.2560000000001,3,3,2,332
LS-17230,777,3,368.88000000000005,1,1,1,111
LS-17245,34,6,1008.1360000000001,4,3,2,432
LT-16765,26,3,329.876,5,1,1,511
LT-17110,34,8,2936.252,4,4,4,444
LW-16825,88,5,2238.061,3,2,3,323
LW-16990,33,6,3230.308,4,3,4,434
LW-17125,205,3,1259.04,2,1,2,212
LW-17215,21,7,5420.514,5,4,5,545
MA-17560,64,11,4299.161,3,5,5,355
MA-17995,186,6,2453.284,2,3,3,233
MB-17305,48,10,1548.702,4,5,2,452
MB-18085,44,7,1428.231,4,4,2,442
MC-17275,76,8,2725.982,3,4,3,343
MC-17425,399,5,4432.138,1,2,5,125
MC-17575,27,8,1303.893,4,4,2,442
MC-17590,51,6,2426.067,4,3,3,433
MC-17605,112,8,2258.192,2,4,3,243
MC-17635,189,4,795.154,2,1,1,211
MC-17845,1,7,3805.714,5,4,4,544
MC-18100,41,10,2218.98,4,5,3,453
MC-18130,369,5,1581.9979999999998,1,2,2,122
MD-17350,117,7,3766.382,2,4,4,244
MD-17860,36,5,1204.91,4,2,2,422
ME-17320,42,10,10663.728000000001,4,5,5,455
ME-17725,28,8,1908.4532,4,4,3,443
ME-18010,92,4,1256.944,3,2,2,322
MF-17665,421,5,937.039,1,2,1,121
MF-18250,7,5,1758.3,5,2,3,523
MG-17650,29,7,3785.276,4,4,4,444
MG-17680,92,4,2350.188,3,2,3,323
MG-17695,555,3,1342.282,1,1,2,112
MG-17875,116,5,1242.8329999999999,2,2,2,222
MG-17890,99,9,776.384,3,5,1,351
MG-18145,84,4,3061.543,3,2,4,324
MG-18205,264,1,16.739,1,1,1,111
MH-17290,119,6,2394.025,2,3,3,233
MH-17440,376,4,400.016,1,2,1,121
MH-17455,85,8,2456.1820000000002,3,4,3,343
MH-17620,155,4,1252.8,2,2,2,222
MH-17785,98,7,2203.7780000000002,3,4,3,343
MH-18025,49,5,2984.948,4,2,4,424
MH-18115,5,9,5503.093,5,5,5,555
MJ-17740,22,7,6320.746,5,4,5,545
MK-17905,28,8,2302.368,4,4,3,443
MK-18160,240,4,1031.602,1,2,2,122
ML-17395,69,9,2722.843,3,5,3,353
ML-17410,54,6,2921.5,3,3,4,334
ML-17755,29,7,2071.9139999999998,4,4,3,443
ML-18040,79,3,742.082,3,1,1,311
ML-18265,100,2,162.232,3,1,1,311
MM-17260,168,4,1314.023,2,2,2,222
MM-17920,7,11,3794.0800000000004,5,5,4,554
MM-18055,61,8,2749.881,3,4,3,343
MM-18280,85,9,775.414,3,5,1,351
MN-17935,34,6,2477.946,4,3,3,433
MO-17500,72,4,922.487,3,2,1,321
MO-17800,104,8,1687.0269999999998,2,4,2,242
MO-17950,180,2,154.288,2,1,1,211
MP-17470,719,7,3206.132,1,4,4,144
MP-17965,72,9,3983.6420000000003,3,5,4,354
MP-18175,16,9,5087.92,5,5,5,555
MR-17545,125,4,639.178,2,2,1,221
MS-17365,273,10,7443.6900000000005,1,5,5,155
MS-17530,434,4,475.65599999999995,1,2,1,121
MS-17710,413,6,1613.402,1,3,2,132
MS-17770,121,9,3144.678,2,5,4,254
MS-17830,452,4,370.348,1,2,1,121
MS-17980,26,6,855.116,5,3,1,531
MT-17815,49,6,2890.139,4,3,4,434
MT-18070,203,4,1319.4498,2,2,2,222
MV-17485,27,9,1560.05,4,5,2,452
MV-18190,19,7,1734.574,5,4,2,542
MW-18220,17,7,5341.900000000001,5,4,5,545
MW-18235,44,2,5253.876,4,1,5,415
MY-17380,29,7,2254.285,4,4,3,443
MY-18295,71,11,4152.696,3,5,4,354
MZ-17335,30,4,593.606,4,2,1,421
MZ-17515,282,6,2564.906,1,3,3,133
NB-18580,1165,2,273.87199999999996,1,1,1,111
NB-18655,19,9,1972.599,5,5,3,553
NC-18340,224,5,2461.404,2,2,3,223
NC-18415,41,6,2218.9900000000002,4,3,3,433
NC-18535,6,7,8241.739,5,4,5,545
NC-18625,204,5,1821.742,2,2,3,223
ND-18370,27,9,4326.139,4,5,5,455
ND-18460,183,6,2893.455,2,3,4,234
NF-18385,79,7,8322.826,3,4,5,345
NF-18475,525,4,377.16200000000003,1,2,1,121
NF-18595,114,7,2031.472,2,4,3,243
NG-18355,48,5,1869.58,4,2,3,423
NG-18430,48,5,1395.9379999999999,4,2,2,422
NH-18610,189,7,2673.29,2,4,3,243
NK-18490,70,7,572.048,3,4,1,341
NL-18310,58,4,1418.0900000000001,3,2,2,322
NM-18445,160,7,6459.344,2,4,5,245
NM-18520,244,10,2161.979,1,5,3,153
NP-18325,25,6,5529.62,5,3,5,535
NP-18670,58,5,3908.402,3,2,4,324
NP-18685,406,6,1228.698,1,3,2,132
NP-18700,138,7,7903.1825,2,4,5,245
NR-18550,210,5,2367.277,2,2,3,223
NS-18505,6,4,2575.863,5,2,3,523
NS-18640,174,13,2964.823,2,5,4,254
NW-18400,172,7,7234.014,2,4,5,245
NZ-18565,85,9,2488.31,3,5,3,353
ON-18715,410,9,1567.52,1,5,2,152
OT-18730,65,5,3818.624,3,2,4,324
PA-19060,103,6,729.408,3,3,1,331
PB-18805,25,3,740.356,5,1,1,511
PB-19105,57,4,688.324,3,2,1,321
PB-19150,97,8,1456.95,3,4,2,342
PB-19210,688,2,132.738,1,1,1,111
PC-18745,2,4,1832.064,5,2,3,523
PC-19000,882,2,1061.488,1,1,2,112
PF-19120,835,4,9062.864,1,2,5,125
PF-19165,196,6,2770.0,2,3,4,234
PF-19225,114,5,2206.1279999999997,2,2,3,223
